,target,situation,location,gc_id,fruit_situation_id,number_of_fruit,month_creation_date_answer,day_creation_date_answer,hour_creation_date_answer,year_creation_date_global,month_creation_date_global,day_creation_date_global,hour_creation_date_global,month_creation_date_request,day_creation_date_request,hour_creation_date_request,AP 0,favorite_fruit 0,hobby 0,hobby 1,green_vegetables 0
0,0,-1,52,70,120,-1,3,13,11,2019,1,17,10,3,13,11,True,True,True,False,True
1,1,-1,78,10,10,-1,3,21,14,2018,8,20,5,3,21,14,True,False,True,False,True
2,0,-1,70,10,200,-1,3,15,17,2018,12,20,13,3,15,17,True,False,True,False,True
3,1,-1,84,10,10,0,1,7,8,2018,7,21,10,1,7,8,True,False,True,False,True
4,1,-1,29,20,10,-1,2,3,17,2018,12,7,19,2,3,17,True,False,True,False,True
5,0,-1,32,10,200,-1,3,20,12,2019,3,18,15,3,20,12,True,False,True,False,True
6,0,-1,96,30,200,-1,1,17,15,2018,11,6,23,1,17,15,True,True,True,False,True
7,0,-1,43,10,110,0,3,20,11,2017,12,20,16,3,20,11,True,False,True,False,True
8,1,-1,50,10,170,0,2,20,8,2018,12,9,19,2,20,8,True,False,True,False,True
9,0,-1,47,10,10,-1,2,23,8,2018,9,30,7,2,23,8,True,False,True,False,True
10,1,-1,3,10,10,0,1,1,10,2018,4,25,13,1,1,10,True,False,True,False,True
11,0,-1,60,10,200,-1,2,16,7,2018,9,3,9,2,16,7,True,False,True,False,True
12,0,-1,70,40,200,-1,2,25,8,2018,10,27,12,2,25,8,True,True,True,False,True
13,0,-1,68,10,200,-1,1,17,16,2019,3,30,21,1,17,16,True,False,True,False,True
14,3,-1,95,100,50,-1,2,1,8,2018,9,18,15,2,1,8,True,True,True,False,True
15,0,-1,95,20,120,-1,2,8,15,2019,1,14,13,2,8,15,True,False,True,False,True
16,1,-1,8,70,10,-1,1,8,12,2018,11,5,15,1,8,12,True,True,True,False,True
17,1,-1,70,10,200,-1,3,16,13,2019,2,4,14,3,16,13,True,False,True,False,True
18,1,-1,78,20,200,0,1,15,12,2018,10,29,8,1,15,12,True,False,True,False,True
19,0,-1,34,30,200,-1,2,2,8,2018,11,14,16,2,2,8,True,True,True,False,True
20,1,-1,93,10,10,-1,1,27,8,2019,1,1,20,1,27,8,True,False,True,False,True
21,1,-1,92,10,160,-1,1,3,7,2018,11,8,10,1,3,7,True,False,True,False,True
22,1,-1,92,10,160,-1,2,3,19,2019,2,3,19,2,3,19,True,False,True,False,True
23,2,-1,45,20,200,-1,2,26,9,2019,2,26,9,2,26,9,True,False,True,False,True
24,1,-1,78,10,160,0,1,9,12,2018,10,17,9,1,9,12,True,False,True,False,True
25,0,-1,87,10,200,-1,3,30,18,2018,8,25,15,3,30,18,True,False,True,False,True
26,1,-1,45,10,120,-1,1,23,9,2018,12,18,9,1,23,9,True,False,True,False,True
27,1,-1,29,10,10,-1,3,27,17,2019,1,14,20,3,27,17,True,False,True,False,True
28,0,-1,14,10,10,-1,2,4,13,2019,1,3,14,2,4,13,True,False,True,False,True
29,1,-1,22,10,10,-1,1,25,9,2018,11,1,20,1,25,9,True,False,True,False,True
30,1,-1,33,10,10,-1,1,11,11,2019,1,11,11,1,11,11,True,False,True,False,True
31,0,-1,60,100,200,-1,2,8,7,2019,1,28,7,2,8,7,True,True,True,False,True
32,0,-1,315670,60,170,-1,2,16,14,2019,1,11,15,2,16,14,True,True,True,False,True
33,1,-1,14,10,10,0,2,13,9,2018,12,7,16,2,13,9,True,False,True,False,True
34,1,-1,51,10,10,0,1,15,9,2017,12,8,14,1,15,9,True,False,True,False,True
35,2,-1,93,10,10,-1,1,30,7,2019,1,4,21,1,30,7,True,False,True,False,True
36,2,-1,81,40,10,-1,1,11,14,2018,12,17,10,1,11,14,True,True,True,False,True
37,2,-1,68,10,200,-1,1,21,10,2018,12,28,14,1,21,10,True,False,True,False,True
38,2,-1,36,10,200,-1,1,26,17,2018,12,26,17,1,26,17,True,False,True,False,True
39,0,-1,52,90,100,-1,3,4,8,2018,8,4,19,3,4,8,True,True,True,False,True
40,2,10,92,100,50,1,2,13,9,2018,10,30,12,2,13,9,True,True,True,False,True
41,2,-1,32,40,50,-1,1,25,9,2018,12,20,12,1,25,9,True,True,True,False,True
42,1,-1,100,10,200,-1,3,31,14,2018,7,31,8,3,31,14,True,False,True,False,True
43,0,-1,69,120,200,-1,3,15,19,2018,12,11,12,3,15,19,True,False,True,False,True
44,0,-1,70,10,200,-1,2,27,13,2019,1,16,20,2,27,13,True,False,True,False,True
45,2,-1,54,10,10,-1,2,12,18,2019,2,8,12,2,12,18,True,False,True,False,True
46,1,-1,3,100,50,-1,2,6,9,2018,12,7,12,2,6,9,True,True,True,False,True
47,1,-1,39,20,200,0,3,26,18,2019,2,18,13,3,26,18,True,False,True,False,True
48,0,-1,75,10,200,-1,1,14,9,2018,2,27,12,1,14,9,True,False,True,False,True
49,0,-1,315710,40,200,-1,3,21,17,2018,9,5,19,3,21,17,True,True,True,False,True
50,0,-1,34,100,200,-1,2,2,15,2019,1,25,12,2,2,15,True,True,True,False,True
51,2,-1,13,10,160,-1,2,5,20,2018,10,2,12,2,5,20,True,False,True,False,True
52,0,-1,45,100,200,-1,3,18,14,2018,12,26,15,3,18,14,True,True,True,False,True
53,0,-1,315710,10,200,-1,2,16,16,2019,2,6,16,2,16,16,True,False,True,False,True
54,2,-1,10,10,120,-1,3,11,8,2018,11,6,10,3,11,8,True,False,True,False,True
55,0,-1,50,10,170,-1,1,9,10,2018,5,15,13,1,9,10,True,False,True,False,True
56,0,-1,315710,10,200,0,1,28,17,2018,2,20,17,1,28,17,True,False,True,False,True
57,3,-1,50,40,80,-1,2,19,13,2019,2,19,14,2,19,13,True,True,True,False,False
58,0,-1,94,100,200,-1,3,29,9,2019,3,8,11,3,29,9,True,True,True,False,True
59,2,-1,80,10,100,-1,2,18,10,2018,5,23,12,2,18,10,True,False,True,False,True
60,2,-1,93,50,50,-1,1,23,11,2018,10,13,16,1,23,11,True,True,True,False,True
61,0,-1,13,10,200,-1,3,7,11,2018,6,7,18,3,7,11,True,False,True,False,True
62,0,-1,60,10,200,0,3,26,11,2019,2,5,16,3,26,11,True,False,True,False,True
63,0,-1,64,10,200,-1,2,11,12,2018,9,10,14,2,11,12,True,False,True,False,True
64,1,-1,47,10,10,-1,2,22,9,2018,8,29,12,2,22,9,True,False,True,False,True
65,1,-1,22,100,10,-1,2,21,20,2017,12,3,18,2,21,20,True,True,True,False,True
66,0,-1,58,10,170,-1,2,19,16,2019,2,12,11,2,19,16,True,False,True,False,True
67,0,-1,27,30,200,-1,2,13,10,2018,5,1,12,2,13,10,True,False,False,True,True
68,0,-1,6,10,10,-1,2,20,14,2019,2,5,14,2,20,14,True,False,True,False,True
69,0,-1,88,20,200,-1,1,22,16,2019,1,10,18,1,22,16,True,False,True,False,True
70,1,-1,84,10,10,0,1,23,9,2016,8,31,0,1,23,9,True,False,True,False,True
71,0,-1,94,100,200,-1,3,29,15,2019,3,18,15,3,29,15,True,True,True,False,True
72,1,-1,11,10,10,-1,3,29,16,2019,1,26,13,3,29,16,True,False,True,False,True
73,1,-1,18,10,10,-1,3,20,13,2019,3,11,10,3,20,13,True,False,True,False,True
74,0,-1,60,10,200,-1,1,20,11,2019,1,10,12,1,20,11,True,False,True,False,True
75,0,-1,6,20,170,-1,3,19,21,2019,3,19,21,3,19,21,True,False,True,False,True
76,0,-1,13,10,160,-1,1,13,17,2019,1,13,17,1,13,17,True,False,True,False,True
77,1,-1,67,10,10,-1,3,11,8,2018,11,21,12,3,11,8,True,False,False,True,True
78,1,-1,92,60,160,3,1,17,7,2019,1,12,21,1,17,7,True,True,True,False,True
79,1,-1,43,40,10,-1,2,14,8,2019,2,5,14,2,14,8,True,True,True,False,True
80,1,-1,92,10,200,-1,2,6,8,2019,2,6,8,2,6,8,True,False,True,False,True
81,1,-1,92,10,160,-1,1,26,9,2019,1,26,9,1,26,9,True,False,True,False,True
82,1,-1,69,10,10,-1,3,5,9,2019,1,2,23,3,5,9,True,False,True,False,True
83,0,-1,70,10,200,0,3,10,14,2018,3,19,13,3,10,14,True,False,True,False,True
84,1,-1,93,10,10,-1,1,11,7,2018,11,22,19,1,11,7,True,False,True,False,True
85,1,-1,70,10,200,0,1,7,13,2018,3,19,13,1,7,13,True,False,True,False,True
86,1,-1,45,10,200,0,1,13,8,2018,8,28,10,1,13,8,True,False,True,False,True
87,1,-1,70,20,200,0,3,23,9,2018,3,19,14,3,23,9,True,False,True,False,True
88,1,-1,29,10,10,-1,1,6,13,2018,1,28,19,1,6,13,True,False,True,False,True
89,2,-1,13,10,200,-1,2,23,7,2018,12,10,15,2,23,7,True,False,True,False,True
90,2,-1,93,40,50,-1,1,9,17,2018,12,12,10,1,9,17,True,True,True,False,True
91,0,-1,89,10,200,0,2,26,14,2018,9,10,10,2,26,14,True,False,True,False,True
92,2,-1,83,20,170,-1,1,14,9,2018,5,22,17,1,14,9,True,False,True,False,True
93,0,-1,64,10,170,-1,1,29,8,2017,12,31,12,1,29,8,True,False,True,False,True
94,0,-1,34,10,200,-1,2,28,15,2019,2,25,13,2,28,15,True,False,True,False,True
95,1,-1,81,10,10,-1,3,5,13,2018,6,25,9,3,5,13,True,False,True,False,True
96,1,-1,26,10,160,-1,3,20,8,2017,12,6,10,3,20,8,True,False,True,False,True
97,1,-1,38,10,10,0,2,20,14,2018,6,18,14,2,20,14,True,False,True,False,False
98,0,20,39,40,120,4,3,8,13,2019,3,8,13,3,8,13,True,True,True,False,True
99,2,-1,95,100,160,-1,2,11,20,2019,1,14,19,2,11,20,True,True,True,False,True
100,1,-1,43,10,10,-1,1,13,10,2018,11,28,15,1,13,10,True,False,True,False,False
101,0,-1,70,10,200,-1,2,10,12,2018,7,25,8,2,10,12,True,False,True,False,True
102,0,-1,34,10,200,-1,2,15,10,2018,3,9,11,2,15,10,True,False,True,False,True
103,1,-1,63,10,10,-1,1,30,10,2018,9,17,14,1,30,10,True,False,True,False,True
104,1,-1,29,10,10,0,2,16,15,2019,1,29,9,2,16,15,True,False,True,False,True
105,1,-1,32,10,200,-1,1,12,18,2018,12,30,15,1,12,18,True,False,True,False,True
106,0,-1,39,10,200,-1,3,13,7,2019,3,13,7,3,13,7,True,False,True,False,True
107,2,-1,67,10,10,-1,2,18,12,2018,8,6,12,2,18,12,True,False,True,False,True
108,0,-1,87,10,170,-1,3,29,16,2018,8,7,15,3,29,16,True,False,True,False,True
109,1,-1,43,10,10,0,1,21,11,2017,11,23,11,1,21,11,True,False,True,False,True
110,1,-1,34,80,10,-1,2,13,19,2019,1,9,19,2,13,19,True,False,True,False,True
111,0,-1,70,20,200,-1,2,25,15,2019,1,2,10,2,25,15,True,False,True,False,True
112,0,-1,10,10,200,0,3,28,18,2019,1,15,14,3,28,18,True,False,True,False,True
113,0,-1,68,20,10,0,3,18,10,2018,4,1,18,3,18,10,True,False,True,False,True
114,1,-1,11,10,10,-1,3,11,13,2018,12,6,9,3,11,13,True,False,True,False,True
115,0,-1,58,10,200,-1,2,8,9,2019,2,1,12,2,8,9,True,False,True,False,True
116,1,-1,84,30,10,-1,3,22,9,2019,3,8,16,3,22,9,True,True,True,False,True
117,2,-1,54,10,200,-1,3,14,13,2018,3,9,13,3,14,13,True,False,True,False,True
118,0,-1,35,10,200,-1,1,15,14,2018,1,15,12,1,15,14,True,False,True,False,True
119,1,-1,95,20,10,-1,1,7,14,2018,12,27,19,1,7,14,True,False,True,False,True
120,2,10,17,40,50,1,1,24,11,2018,12,5,11,1,24,11,True,True,True,False,True
121,2,-1,36,10,200,0,2,18,8,2018,10,17,7,2,18,8,True,False,True,False,True
122,1,-1,73,10,10,-1,1,6,18,2018,12,27,9,1,6,18,True,False,True,False,True
123,1,-1,70,20,200,-1,1,28,9,2019,2,12,13,1,28,9,True,False,True,False,True
124,2,-1,93,40,200,-1,2,2,0,2019,2,2,0,2,2,0,True,True,True,False,True
125,3,10,95,100,50,2,3,1,9,2018,9,20,19,3,1,9,True,True,True,False,True
126,1,-1,46,10,160,-1,3,26,19,2018,1,26,10,3,26,19,True,False,True,False,True
127,0,-1,70,10,200,-1,1,12,13,2018,11,14,15,1,12,13,True,False,True,False,True
128,3,-1,63,20,120,0,1,25,14,2018,9,4,9,1,25,14,True,False,True,False,True
129,0,-1,32,10,200,-1,2,15,18,2019,1,24,21,2,15,18,True,False,True,False,True
130,0,-1,61,10,200,0,3,1,11,2017,1,7,0,3,1,11,True,False,True,False,True
131,1,-1,14,20,10,0,3,9,18,2018,11,6,16,3,9,18,True,False,True,False,True
132,0,-1,94,60,200,-1,3,8,12,2018,12,31,13,3,8,12,True,True,True,False,False
133,1,-1,92,40,50,1,2,28,16,2019,1,28,16,2,28,16,True,True,True,False,True
134,0,-1,61,10,200,-1,3,6,13,2019,1,29,8,3,6,13,True,False,True,False,True
135,1,-1,43,20,10,-1,3,27,9,2019,3,6,16,3,27,9,True,False,True,False,True
136,1,-1,93,10,10,-1,2,19,12,2018,10,23,6,2,19,12,True,False,True,False,True
137,1,-1,100,10,10,-1,2,3,4,2018,1,14,13,2,3,4,True,False,True,False,True
138,0,-1,95,20,170,-1,2,3,16,2019,2,3,16,2,3,16,True,False,True,False,True
139,1,-1,14,10,200,-1,3,6,7,2019,2,28,20,3,6,7,True,False,True,False,True
140,0,-1,37,10,200,0,1,3,9,2018,12,21,14,1,3,9,True,False,True,False,True
141,0,-1,94,100,200,-1,2,26,7,2019,2,18,11,2,26,7,True,True,True,False,True
142,0,-1,13,10,200,-1,1,19,8,2019,1,16,20,1,19,8,True,False,True,False,True
143,0,-1,73,10,200,-1,2,6,13,2019,2,6,13,2,6,13,True,False,True,False,True
144,2,-1,68,10,200,-1,3,13,10,2018,1,11,13,3,13,10,True,False,True,False,True
145,1,-1,47,100,10,-1,2,1,10,2018,12,4,18,2,1,10,True,True,True,False,True
146,2,-1,79,20,10,-1,2,1,7,2019,1,8,14,2,1,7,True,False,True,False,True
147,2,-1,80,20,10,-1,3,26,9,2018,1,2,13,3,26,9,True,False,True,False,True
148,0,-1,93,10,200,0,2,6,18,2019,2,6,18,2,6,18,True,False,True,False,True
149,0,-1,87,20,170,-1,2,11,19,2019,2,6,18,2,11,19,True,False,True,False,True
150,0,-1,10,20,200,0,3,15,8,2019,3,7,17,3,15,8,True,False,True,False,True
151,0,-1,13,10,10,-1,1,11,8,2018,7,24,9,1,11,8,True,False,True,False,True
152,0,-1,61,10,170,-1,2,22,11,2019,1,9,12,2,22,11,True,False,True,False,True
153,0,-1,34,10,200,-1,2,8,10,2019,1,27,15,2,8,10,True,False,True,False,True
154,1,-1,54,20,170,-1,1,2,13,2018,8,30,12,1,2,13,True,False,True,False,True
155,1,-1,33,10,10,-1,3,15,19,2019,3,10,8,3,15,19,True,False,True,False,True
156,0,-1,13,10,170,-1,3,26,21,2018,12,20,19,3,26,21,True,False,True,False,True
157,0,-1,34,30,200,-1,3,5,12,2018,12,26,15,3,5,12,True,True,True,False,True
158,0,10,99,40,220,3,3,21,14,2019,4,2,15,3,21,14,True,False,True,False,True
159,1,-1,59,80,10,-1,3,16,9,2019,3,13,20,3,16,9,True,False,True,False,True
160,2,-1,6,10,10,-1,2,22,17,2018,6,27,16,2,22,17,True,False,True,False,True
161,1,-1,32,20,10,-1,1,7,8,2019,1,7,8,1,7,8,True,False,True,False,True
162,2,-1,38,100,50,-1,2,11,14,2019,1,14,16,2,11,14,True,True,True,False,True
163,0,-1,315670,10,170,0,3,8,8,2017,9,1,15,3,8,8,True,False,True,False,True
164,0,-1,34,10,200,-1,3,19,10,2018,3,29,12,3,19,10,True,False,True,False,True
165,1,-1,36,20,200,-1,3,13,9,2018,12,18,16,3,13,9,True,False,True,False,True
166,0,-1,96,70,200,-1,1,1,14,2018,11,21,11,1,1,14,True,True,True,False,True
167,2,-1,95,10,200,0,2,15,12,2018,10,4,14,2,15,12,True,False,True,False,True
168,0,-1,39,20,200,0,1,16,8,2019,1,16,6,1,16,8,True,False,True,False,True
169,0,-1,79,40,200,2,1,14,10,2019,1,7,9,1,14,10,True,True,True,False,True
170,1,-1,22,20,10,-1,2,28,14,2019,1,5,18,2,28,14,True,False,True,False,True
171,1,-1,38,10,10,-1,2,4,15,2017,12,7,17,2,4,15,True,False,True,False,True
172,0,-1,68,100,200,-1,3,27,9,2018,3,12,16,3,27,9,True,True,True,False,True
173,2,-1,45,40,200,1,2,22,14,2019,1,17,13,2,22,14,True,True,True,False,True
174,1,-1,73,40,10,-1,1,16,10,2018,11,23,11,1,16,10,True,True,True,False,True
175,0,-1,78,40,200,3,3,27,6,2019,3,25,9,3,27,6,True,True,True,False,False
176,2,-1,64,10,170,-1,3,18,10,2018,7,4,8,3,18,10,True,False,True,False,True
177,0,-1,68,10,200,-1,1,16,11,2018,8,24,9,1,16,11,True,False,True,False,True
178,1,-1,43,70,10,-1,3,21,8,2019,2,20,18,3,21,8,True,True,True,False,True
179,2,-1,72,10,10,-1,1,3,19,2018,11,26,11,1,3,19,True,False,True,False,True
180,2,-1,68,10,200,-1,2,18,15,2018,10,4,15,2,18,15,True,False,True,False,True
181,0,-1,2,10,200,-1,1,25,8,2019,1,25,8,1,25,8,True,False,True,False,True
182,1,-1,16,10,10,-1,1,21,7,2018,3,16,8,1,21,7,True,False,True,False,True
183,0,-1,79,10,200,0,1,2,6,2018,11,12,12,1,2,6,True,False,True,False,True
184,0,-1,70,10,200,-1,3,2,14,2018,10,31,17,3,2,14,True,False,True,False,True
185,0,-1,69,10,200,-1,2,20,10,2019,2,15,19,2,20,10,True,False,True,False,True
186,0,-1,61,10,200,-1,3,16,12,2018,10,15,10,3,16,12,True,False,True,False,True
187,2,-1,96,10,50,0,3,19,9,2019,1,11,10,3,19,9,True,False,True,False,True
188,1,-1,67,10,10,-1,1,16,8,2017,11,1,18,1,16,8,True,False,True,False,True
189,0,-1,68,20,200,-1,3,4,7,2018,1,13,21,3,4,7,True,False,True,False,True
190,1,-1,100,10,200,0,1,27,8,2018,10,3,4,1,27,8,True,False,True,False,True
191,0,-1,68,10,200,-1,3,30,14,2019,1,28,12,3,30,14,True,False,True,False,True
192,1,-1,81,10,10,-1,2,16,14,2018,8,28,15,2,16,14,True,False,True,False,True
193,1,-1,61,10,10,0,3,10,9,2018,5,5,14,3,10,9,True,False,True,False,True
194,0,-1,95,20,130,0,3,1,13,2019,3,1,13,3,1,13,True,False,True,False,True
195,2,-1,96,100,50,1,3,20,8,2017,11,29,15,3,20,8,True,True,True,False,True
196,1,-1,81,10,10,-1,2,13,14,2019,2,13,14,2,13,14,True,False,True,False,True
197,1,-1,100,10,10,-1,2,7,4,2019,1,24,2,2,7,4,True,False,True,False,True
198,0,-1,34,100,200,-1,3,12,12,2018,1,5,15,3,12,12,True,True,True,False,True
199,1,-1,22,10,10,-1,2,25,20,2018,5,7,15,2,25,20,True,False,True,False,True
200,0,-1,78,10,200,0,2,18,16,2019,2,18,16,2,18,16,True,False,True,False,True
201,2,-1,81,20,10,-1,2,15,14,2018,12,29,2,2,15,14,True,False,True,False,True
202,1,-1,47,10,10,-1,2,6,8,2018,9,30,7,2,6,8,True,False,True,False,True
203,0,-1,34,10,200,0,2,25,15,2019,2,25,15,2,25,15,True,False,True,False,True
204,1,-1,81,10,10,-1,1,21,12,2018,6,25,11,1,21,12,True,False,True,False,True
205,1,-1,6,10,200,-1,1,27,20,2019,1,27,20,1,27,20,True,False,True,False,True
206,0,10,39,100,160,3,3,3,8,2019,2,6,7,3,3,8,True,True,True,False,True
207,2,-1,13,10,200,0,3,16,10,2018,1,19,0,3,16,10,True,False,True,False,True
208,0,-1,87,10,170,-1,2,18,13,2019,1,7,11,2,18,13,True,False,True,False,True
209,2,-1,34,10,200,-1,3,20,22,2018,2,13,16,3,20,22,True,False,True,False,True
210,0,-1,16,80,10,-1,3,1,8,2019,1,22,21,3,1,8,True,False,True,False,True
211,0,-1,79,10,200,0,2,14,9,2019,1,23,15,2,14,9,True,False,True,False,True
212,0,-1,95,100,50,-1,1,21,15,2018,10,26,13,1,21,15,True,True,True,False,True
213,0,-1,60,60,200,-1,3,23,15,2019,3,22,10,3,23,15,True,True,True,False,True
214,0,-1,17,10,10,-1,3,26,14,2018,9,26,9,3,26,14,True,False,True,False,True
215,1,-1,84,10,200,-1,1,17,10,2019,1,17,7,1,17,10,True,False,True,False,True
216,0,-1,38,10,200,-1,2,28,14,2018,11,22,16,2,28,14,True,False,True,False,True
217,1,-1,18,10,10,-1,1,25,8,2018,7,12,8,1,25,8,True,False,True,False,True
218,1,-1,93,40,50,-1,3,25,10,2019,3,11,10,3,25,10,True,True,True,False,True
219,3,-1,55,20,200,-1,1,15,10,2019,1,17,14,1,15,10,True,False,True,False,True
220,0,-1,60,10,200,0,2,14,13,2018,11,26,11,2,14,13,True,False,True,False,True
