,situation,location,gc_id,fruit_situation_id,number_of_fruit,target,month_creation_date_answer,day_creation_date_answer,hour_creation_date_answer,year_creation_date_global,month_creation_date_global,day_creation_date_global,hour_creation_date_global,month_creation_date_request,day_creation_date_request,hour_creation_date_request,AP_0,favorite_fruit_0,hobby_0,hobby_1,green_vegetables_0
0,-1,52,70,120,-1,0,3,13,11,2019,1,17,10,3,13,11,1,0,0,1,1
1,-1,78,10,10,-1,1,3,21,14,2018,8,20,5,3,21,14,1,1,0,1,1
2,-1,70,10,200,-1,0,3,15,17,2018,12,20,13,3,15,17,1,1,0,1,1
3,-1,84,10,10,0,1,1,7,8,2018,7,21,10,1,7,8,1,1,0,1,1
4,-1,29,20,10,-1,1,2,3,17,2018,12,7,19,2,3,17,1,1,0,1,1
5,-1,32,10,200,-1,0,3,20,12,2019,3,18,15,3,20,12,1,1,0,1,1
6,-1,96,30,200,-1,0,1,17,15,2018,11,6,23,1,17,15,1,0,0,1,1
7,-1,43,10,110,0,0,3,20,11,2017,12,20,16,3,20,11,1,1,0,1,1
8,-1,50,10,170,0,1,2,20,8,2018,12,9,19,2,20,8,1,1,0,1,1
9,-1,47,10,10,-1,0,2,23,8,2018,9,30,7,2,23,8,1,1,0,1,1
10,-1,3,10,10,0,1,1,1,10,2018,4,25,13,1,1,10,1,1,0,1,1
11,-1,60,10,200,-1,0,2,16,7,2018,9,3,9,2,16,7,1,1,0,1,1
12,-1,70,40,200,-1,0,2,25,8,2018,10,27,12,2,25,8,1,0,0,1,1
13,-1,68,10,200,-1,0,1,17,16,2019,3,30,21,1,17,16,1,1,0,1,1
14,-1,95,100,50,-1,3,2,1,8,2018,9,18,15,2,1,8,1,0,0,1,1
15,-1,95,20,120,-1,0,2,8,15,2019,1,14,13,2,8,15,1,1,0,1,1
16,-1,8,70,10,-1,1,1,8,12,2018,11,5,15,1,8,12,1,0,0,1,1
17,-1,70,10,200,-1,1,3,16,13,2019,2,4,14,3,16,13,1,1,0,1,1
18,-1,78,20,200,0,1,1,15,12,2018,10,29,8,1,15,12,1,1,0,1,1
19,-1,34,30,200,-1,0,2,2,8,2018,11,14,16,2,2,8,1,0,0,1,1
20,-1,93,10,10,-1,1,1,27,8,2019,1,1,20,1,27,8,1,1,0,1,1
21,-1,92,10,160,-1,1,1,3,7,2018,11,8,10,1,3,7,1,1,0,1,1
22,-1,92,10,160,-1,1,2,3,19,2019,2,3,19,2,3,19,1,1,0,1,1
23,-1,45,20,200,-1,2,2,26,9,2019,2,26,9,2,26,9,1,1,0,1,1
24,-1,78,10,160,0,1,1,9,12,2018,10,17,9,1,9,12,1,1,0,1,1
25,-1,87,10,200,-1,0,3,30,18,2018,8,25,15,3,30,18,1,1,0,1,1
26,-1,45,10,120,-1,1,1,23,9,2018,12,18,9,1,23,9,1,1,0,1,1
27,-1,29,10,10,-1,1,3,27,17,2019,1,14,20,3,27,17,1,1,0,1,1
28,-1,14,10,10,-1,0,2,4,13,2019,1,3,14,2,4,13,1,1,0,1,1
29,-1,22,10,10,-1,1,1,25,9,2018,11,1,20,1,25,9,1,1,0,1,1
30,-1,33,10,10,-1,1,1,11,11,2019,1,11,11,1,11,11,1,1,0,1,1
31,-1,60,100,200,-1,0,2,8,7,2019,1,28,7,2,8,7,1,0,0,1,1
32,-1,315670,60,170,-1,0,2,16,14,2019,1,11,15,2,16,14,1,0,0,1,1
33,-1,14,10,10,0,1,2,13,9,2018,12,7,16,2,13,9,1,1,0,1,1
34,-1,51,10,10,0,1,1,15,9,2017,12,8,14,1,15,9,1,1,0,1,1
35,-1,93,10,10,-1,2,1,30,7,2019,1,4,21,1,30,7,1,1,0,1,1
36,-1,81,40,10,-1,2,1,11,14,2018,12,17,10,1,11,14,1,0,0,1,1
37,-1,68,10,200,-1,2,1,21,10,2018,12,28,14,1,21,10,1,1,0,1,1
38,-1,36,10,200,-1,2,1,26,17,2018,12,26,17,1,26,17,1,1,0,1,1
39,-1,52,90,100,-1,0,3,4,8,2018,8,4,19,3,4,8,1,0,0,1,1
40,10,92,100,50,1,2,2,13,9,2018,10,30,12,2,13,9,1,0,0,1,1
41,-1,32,40,50,-1,2,1,25,9,2018,12,20,12,1,25,9,1,0,0,1,1
42,-1,100,10,200,-1,1,3,31,14,2018,7,31,8,3,31,14,1,1,0,1,1
43,-1,69,120,200,-1,0,3,15,19,2018,12,11,12,3,15,19,1,1,0,1,1
44,-1,70,10,200,-1,0,2,27,13,2019,1,16,20,2,27,13,1,1,0,1,1
45,-1,54,10,10,-1,2,2,12,18,2019,2,8,12,2,12,18,1,1,0,1,1
46,-1,3,100,50,-1,1,2,6,9,2018,12,7,12,2,6,9,1,0,0,1,1
